id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement
7129300520,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0
6414100192,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400
5631500400,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0
2487200875,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910
1954400510,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0
7237550310,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530
1321400060,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0
2008000270,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0
2414600126,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730
3793500160,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0
1736800520,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700
9212900260,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300
114101516,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0
6054650070,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0
1175000570,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0
9297300055,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970
1875500060,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0
6865200140,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0
16000397,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0
7983200060,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0
6300500875,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760
2524049179,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720
7137970340,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0
8091400200,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0
3814700200,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0
1202000200,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0
1794500383,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700
3303700376,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0
5101402488,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730
1873100390,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0
8562750320,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0
2426039314,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0
461000390,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820
7589200193,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0
7955080270,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780
9547205180,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790
9435300030,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730
2768000400,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0
7895500070,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330
2078500320,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0
5547700270,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0
7766200013,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620
7203220400,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0
9270200160,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0
1432701230,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360
8035350320,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0
8945200830,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0
4178300310,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0
9215400105,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0
822039084,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588
5245600105,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0
7231300125,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510
7518505990,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410
3626039271,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990
4217401195,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600
9822700295,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0
9478500640,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0
2799800710,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0
7922800400,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0
8079040320,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0
1516000055,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560
9558200045,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0
5072410070,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0
9528102996,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0
1189001180,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550
